DBN,School Name,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/ Undercredited,Percent in Temp Housing,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,School Name_1,Student Achievement - Section Score,Metric Value - 4-Year Graduation Rate,Metric Value - Postsecondary Enrollment Rate - 18 Months,Metric Value - Postsecondary Enrollment Rate - 6 Months,Metric Value - College and Career Preparatory Course Index,Metric Value - 4-Year College Readiness Index,School Name_2,Metric Value - Average Score SAT Math,Metric Value - Average Score SAT Reading and Writing,Metric Value - % College Ready SAT Math,Metric Value - % College Ready SAT Reading and Writing,Metric Value - % test takers at college ready threshold Regents English,Metric Value - % Passing an Industry-Recognized Technical Assessment,school_name,overview_paragraph,neighborhood,location,phone_number,fax_number,school_email,website,grades2018,total_students,start_time,end_time,addtl_info1,extracurricular_activities,psal_sports_boys,psal_sports_girls,psal_sports_coed,school_sports,graduation_rate,attendance_rate,pct_stu_enough_variety,college_career_rate,pct_stu_safe,girls,boys,pbat,international,specialized,transfer,ptech,earlycollege,geoeligibility,primary_address_line_1,city,Postcode,state_code,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Borough,NTA_lower,nta,measure,Unemployment Rate,"Households Less than $10,000",Households With cash public assistance income,Households With Food Stamp/SNAP bnfts in the past 12 mo,Vacant housing units,Lacking complete plumbing facilities,GRAPI 35.0 percent or more,Population 25 years and over  Less than 9th grade,Percent high school graduate or higher,Percent bachelor's degree or higher,NTA_code,NTA_name,geoeligibility_b,community_school,uniforms,type
01M292,Orchard Collegiate Academy,0.81,0.92,0.8,0.92,0.82,0.94,2.474,2.117,14.299999999999999,27.1,0.036,0.832,7.9,20.0,1.9,50.0,0.867,0.448,Orchard Collegiate Academy,3.72,0.658,0.569,0.364,0.026,0.237,Orchard Collegiate Academy,447.9,426.3,10.5,13.200000000000001,0.698,0.0,Orchard Collegiate Academy (Henry Street School),"Founded by the Asia Society, our school helps students acquire the knowledge and skills needed to prepare for college and/or careers while in pursuit of knowledge of the histories, economies, and languages of world regions. Teachers and other adults who make up the learning community forge supportive relationships with students and parents while providing challenging and engaging learning experiences. Our school partners with various community, arts, and business organizations to help students achieve success. Our theme of international studies extends beyond the classroom, where students participate in ongoing Â‘Advisory Day OutÂ’ excursions where the multiculturalism of NYC becomes the classroom.",Lower East Side,"220 Henry Street, Manhattan NY 10002 (40.713362, -73.986051)",212-406-9411,212-406-9417,mdoyle9@schools.nyc.gov,http://schools.nyc.gov/SchoolPortals/01/M292/default.htm,9-12,185,8:20pm,3:55pm,Community School,"Student Government/Leadership; Cooking; Boxing; Concert Band; Social Support Club; Storytellers; Social Emotional Learning Groups; Young WomenÂ’s Club, Art and Anime Club. OCA houses a school-based mental health clinic, run by the Henry Street Settlement. Students and families are seen for individual and family therapy",Basketball,No data,No data,"Boxing, Soccer, Wrestling",0.638999999,0.769999981,0.699999988,0.261999995,73.0000019,False,False,False,False,False,False,False,False,No data,220 Henry Street,Manhattan,10002,NY,40.71336,-73.9861,3,1,201,1003223.0,1002690041.0,Lower East Side                                                            ,MANHATTAN,lower east side,MN28 Lower East Side,Percent,11.196381674934345,17.83161239078634,6.145750595710882,30.526873179772306,6.111922443526085,0.9994704792163093,35.445177910159394,20.877320713505643,66.94939934473972,30.764470331270477,MN28,Lower East Side,False,True,False,Community
01M448,University Neighborhood High School,0.82,0.88,0.76,0.89,0.86,0.92,2.847,2.66,8.9,14.799999999999999,0.003,0.757,7.3999999999999995,17.299999999999997,7.5,42.9,0.925,0.244,University Neighborhood High School,4.45,0.897,0.59,0.697,0.692,0.5,University Neighborhood High School,495.2,456.8,30.8,39.7,0.589,2.6,University Neighborhood High School,"We are a small, inclusive school guided by 4 pillars: Honor, Excellence, Curiosity, and Celebration. 98% of our students go to college. Students engage in a college-bound academic program of Regents, AP, College Now courses, and study Chinese, Korean, or Japanese. We offer a robust after-school club culture supported by our student government. We encourage acts of kindness through RachelÂ’s Challenge, an anti-bullying program. Our Parent Coordinator keeps parents informed through biweekly postcards, a newsletter, and First Fridays. Grades and progress reports are available online. Seniors attend college prep classes; juniors can take onsite Kaplan SAT prep courses. Our NEST program provides significant individual support for students with autism.",Lower East Side,"200 Monroe Street, Manhattan NY 10002 (40.712269, -73.984128)",212-962-4341,212-267-5611,KChu@schools.nyc.gov,www.universityneighborhoodhs.org,9-12,343,8:15am,2:40pm,Internships; Summer Orientation,"Basketball, Badminton, Handball, Glee, Dance, Weight Training, Ping Pong, Tennis, Step Team, Tutoring, Lunchtime Tutoring, Saturday SAT Prep, Saturday Regents Prep, ESL Saturday Academy, Regents Prep, National Honor Society, Council for Unity, Young WomenÂ’s Empowerment, Student Assistance Services, Aviation, Book, Chess, Robotics, Computer, Spanish, Student Government, Art, Audio, Music, Digital Art Studio, Guitar and Piano, Literary Magazine, Murals, Video, and Cooking.","Basketball, Bowling, Handball","Bowling, Softball",No data,No data,0.842999995,0.879999995,0.75999999,0.662,91.0000026,False,False,False,False,False,False,False,False,No data,200 Monroe Street,Manhattan,10002,NY,40.71227,-73.9841,3,1,202,1003214.0,1002590044.0,Lower East Side                                                            ,MANHATTAN,lower east side,MN28 Lower East Side,Percent,11.196381674934345,17.83161239078634,6.145750595710882,30.526873179772306,6.111922443526085,0.9994704792163093,35.445177910159394,20.877320713505643,66.94939934473972,30.764470331270477,MN28,Lower East Side,False,False,False,No Type
01M450,East Side Community School,0.9,0.93,0.84,0.95,0.93,0.94,3.063,2.934,1.0,24.4,0.0,0.586,0.8,5.6000000000000005,15.8,78.0,0.94,0.164,East Side Community School,3.91,0.92,0.83,0.767,0.909,0.886,East Side Community School,497.1,521.2,29.5,64.8,0.722,1.0999999999999999,East Side Community School,"We are a small college preparatory school that takes pride in our engaging and challenging curriculum. In all classes, our students creatively apply what they learn to complete interesting and rigorous projects. Our teachers know our students well and provide the support they need to succeed. Because we believe that it is important for students to discover and develop their passions, we offer our students an amazing amount of extra curricular activities and travel opportunities that they enjoy tremendously. East Side is a great setting for students who are interested in being part of a vibrant and diverse community that focuses on academic, social, and emotional growth.",East Village,"420 East 12th Street, Manhattan NY 10009 (40.729152, -73.982472)",212-460-8467,212-260-9657,tomm@eschs.org,www.eschs.org,6-12,677,8:30am,3:30pm,Internships,"Rock Band, Photography, Guitar Ensemble, Skateboarding, Snowboarding and Surfing through Stoked, Jewelry Making, Chess, Brotherhood and Sisterhood, Music Production through BEAT Rhymers, Model UN, National Honors Society, Cheerleading, Guggenheim Mentor Program, Gay-Straight Alliance, Environmental Club, Dance, PrincipalÂ’s Book Club, Rock Climbing through Brooklyn Boulders, Crew Team, School Newspaper, LES Girls Club Cooking and Fashion/Sewing, Gardening, Bicycling Â– I Challenge Myself.","Baseball, Basketball, Soccer","Basketball, Soccer, Softball, Volleyball",No data,"Basketball, Bicycling, Fitness, Indoor Soccer, Skateboarding, Softball, Volleyball, Rock Climbing, Snowboarding, Surfing",0.864000022,0.939999998,0.930000007,0.722000003,93.9999998,False,False,True,False,False,False,False,False,No data,420 East 12th Street,Manhattan,10009,NY,40.72915,-73.9825,3,2,34,1005974.0,1004390017.0,East Village                                                               ,MANHATTAN,east village,MN22 East Village,Percent,5.747087163016366,10.468035506141845,1.3180310230431274,8.03371290235811,9.055326782729237,0.20622254102035326,39.6231479493236,3.966544955216428,91.78603751209312,67.66532471990763,MN22,East Village,False,False,False,Performance Assessment
01M509,Marta Valle High School,0.61,0.68,0.65,0.65,0.79,0.75,2.632,2.207,8.799999999999999,29.4,0.025,0.767,9.3,14.2,2.0,64.7,0.79,0.631,Marta Valle High School,2.89,0.741,0.366,0.493,0.224,0.224,Marta Valle High School,444.8,474.5,5.2,27.6,0.467,1.7000000000000002,Marta Valle High School,"Marta Valle High School offers academic and character development in the tradition of our namesake Marta Valle, a social worker, youth advocate, and community organizer. The mission of MVHS is to support the development of our studentsÂ’ intellectual curiosity, creative minds, healthy bodies, leadership capacity, and the ethical spirit needed to thrive in college and beyond. We provide an academically rigorous program where students are inspired by experiences in the visual, performing, and culinary arts. We are committed to sustaining a school in which individuals representing diverse cultures and experiences support one another, and understand the value of community, leadership, innovation, and the joy and importance of lifelong learning.",Chinatown,"145 Stanton Street, Manhattan NY 10002 (40.72004, -73.986038)",212-473-8152,212-475-7588,Ladegbola@schools.nyc.gov,www.martavalle.org,9-12,272,8am,3:30pm,College Trips; Community Service Expected; Extended Day Program; Online Grading System; Student/Parent Orientation; Summer Bridge Program,"Beacon & Grand Street Settlement Programs on Site, Student Ambassadors, Extended Learning Time Enrichment & Tutoring, College and Career Fair, Family Night, Art, Audio Recording Studio, Dance Studio, Video Production, Gallatin Great Works Project (NYU), SAT Prep, Cheerleading, Boxing, National Honors Society, Art Studio, Peer Conflict Resolution, Anime Club, Rugby, Chess. Students can form new clubs with a teacher and at least 10 interested students.",Basketball,"Badminton, Volleyball",No data,Volleyball,0.474999994,0.769999981,0.579999983,0.300000012,83.9999974,False,False,False,False,False,False,False,False,No data,145 Stanton Street,Manhattan,10002,NY,40.72004,-73.986,3,1,3001,1004323.0,1003540080.0,Chinatown                                                                  ,MANHATTAN,chinatown,MN27 Chinatown,Percent,8.801904033320582,16.562655326669244,3.965317280609709,25.24990335229469,9.812222941674554,0.8725907107748384,45.12067156348373,29.434792547719738,58.992456280717796,27.554577666018975,MN27,Chinatown,False,False,False,No Type
01M539,"New Explorations into Science, Technology and Math",0.81,0.75,0.72,0.74,0.91,0.81,3.732,3.796,0.5,9.9,0.0,0.359,1.5,3.4000000000000004,2.0,63.800000000000004,0.953,0.102,"New Explorations into Science, Technology and Math",4.23,0.973,0.91,0.845,0.984,0.956,"New Explorations into Science, Technology and Math",655.1,617.1,80.9,71.0,0.952,0.5,"New Explorations into Science, Technology and Math High School (NEST+m)","NEST+m is a Citywide G&T K-12 school. Our academically rigorous program has made us one of the finest schools in the city. We are committed to developing each studentÂ’s capacity for academic and intellectual achievement through individual and collaborative learning.. We provide a range of services for students with disabilities including a full-inclusion program. NEST+m students blossom into practitioners: scientists, mathematicians, engineers, artists, writers, historians, musicians, painters, and linguists who approach their studies with passion and purpose. Multiple opportunities exist for students to have internships at local universities in the sciences and the arts.",Lower East Side,"111 Columbia Street, Manhattan NY 10002 (40.719416, -73.979581)",212-677-5190,212-260-8124,sglickman6@schools.nyc.gov,www.nestmk12.net,K-12,1753,8:20am,2:40pm,College Trips; Community Service Expected; Extended Day Program (Tutoring); Internships; Online Grading System; Student/Parent Orientation; Summer Internships,"Robotics, Model UN, Chess Competitions, National Honor Society, Math Team/Contests, Borough Advisory Student Council, Debate Committee/Team, Student Government, Peer Leaders, Art Exhibitions, Creative Writing, Green Club, Gay-Straight Alliance, PSAL and Club Level Sports, Heart to Heart Charity, Talent Show, Red Cross, Scholastic Arts Competition, SLT, Winter and Spring School Plays, World Science Festival, Jazz Band and Chorus, Music Concert","Basketball, Fencing, Indoor Track, Soccer","Basketball, Fencing, Soccer, Softball, Table Tennis, Volleyball",No data,"Badminton, Baseball, Cross-Country, Dance, Outdoor Track, Soccer, Softball, Table Tennis, Volleyball",0.975000024,0.949999988,0.819999993,0.823000014,93.0000007,False,False,False,False,False,False,False,False,No data,111 Columbia Street,Manhattan,10002,NY,40.71942,-73.9796,3,2,2201,1004070.0,1003350001.0,Lower East Side                                                            ,MANHATTAN,lower east side,MN28 Lower East Side,Percent,11.196381674934345,17.83161239078634,6.145750595710882,30.526873179772306,6.111922443526085,0.9994704792163093,35.445177910159394,20.877320713505643,66.94939934473972,30.764470331270477,MN28,Lower East Side,False,False,False,No Type
01M696,Bard High School Early College,0.89,0.82,0.82,0.91,0.86,0.9,3.925,4.024,0.0,2.9000000000000004,0.0,0.383,0.5,4.3999999999999995,6.8,83.89999999999999,0.945,0.13,Bard High School Early College,4.41,0.991,0.987,0.977,1.0,0.973,Bard High School Early College,612.2,633.9,57.49999999999999,56.599999999999994,0.98,0.8999999999999999,Bard High School Early College,"Bard High School Early College Manhattan (BHSEC Manhattan) was founded on the belief that many students are ready to do serious college work at age 16. Bard College partnered with the NYC Department of Education to create an innovative program that enables high school students to move, in four years, from ninth grade through the first two years of college, earning a high school diploma, up to sixty college credits, and an Associate of Arts (AA) degree upon graduation.",Lower East Side,"525 East Houston Street, Manhattan NY 10002 (40.718276, -73.976093)",212-995-8479,212-777-4702,apply@bhsec.bard.edu,www.bard.edu/bhsec,9-12,535,9am,3:50pm,No data,"Bard Bulletin and Bardvark newspapers, Art Magazine, Asian Culture, BHSEC Connect, BHSEC Literary Magazine, BHSEC Student Activist Network, Student Union, Book, Break Dance, CAFE performances, Chinese Language and Culture, Current Events, Debate, ECO, Film, Future Doctors and Scientists of America, Karaoke, Literary Magazine, Making A Change, Mock Trial, Model UN, Muslim Students Association, Philosophy, Step Team, Swim, Table Tennis, Theater Production, Winter and Spring Concerts, Yearbook","Basketball, Soccer, Tennis","Basketball, Cross Country, Outdoor Track, Soccer, Tennis, Volleyball",No data,Co-ed Ultimate Frisbee,0.973999977,0.959999979,0.889999986,0.958000004,99.000001,False,False,False,False,False,False,False,True,No data,525 East Houston Street,Manhattan,10002,NY,40.71828,-73.9761,3,2,1002,1004062.0,1003250025.0,Lower East Side                                                            ,MANHATTAN,lower east side,MN28 Lower East Side,Percent,11.196381674934345,17.83161239078634,6.145750595710882,30.526873179772306,6.111922443526085,0.9994704792163093,35.445177910159394,20.877320713505643,66.94939934473972,30.764470331270477,MN28,Lower East Side,False,True,True,Early College
02M047,47 The American Sign Language and English Secondar,0.65,0.77,0.68,0.84,0.8,0.84,2.828,2.372,5.0,25.7,0.045,0.732,6.1,12.3,9.0,60.0,0.861,0.443,47 The American Sign Language and English Secondar,3.76,0.914,0.552,0.621,0.457,0.429,47 The American Sign Language and English Secondar,459.0,461.6,11.4,37.1,0.702,0.0,Â“47Â” The American Sign Language and English Secondary School,"At Â“47,Â” the American Sign Language and English High School, we believe that all students have the right to learn in an inclusive, academically rigorous environment. Our elective courses challenge our studentsÂ’ creativity and our graduates emerge proficient in American Sign Language (ASL). Our school community nurtures responsible citizens of the world, addressing all aspects of young adult development by providing the necessary individual supports for our students to be college and career ready.",Gramercy,"223 East 23rd Street, Manhattan NY 10010 (40.738374, -73.981329)",917-326-6668,917-326-6688,wshama@schools.nyc.gov,www.47aslhs.org,9-12,186,8am,2:50pm,Internships,"Academic Bowl, ASL Performance, ASL Poetry, After-school Tutoring, Archery, Arts and Crafts, Chorus: Signing and Singing, Coding, Computer Science, Creative Writing, Chess, Chorus, Dance, Drama, Drumming, Food & Nutrition, Forensics, Knitting, Peer Mediation, Regents Prep, SAT Prep School Newspaper (in print and video), Student Council, Video Production and Editing, Visits to ASL Interpreted Broadway shows, Weight Room, Yearbook",No data,No data,Stunt,"Basketball, Cross Country, Track, Volleyball",0.551999986,0.879999995,0.519999981,0.405000001,92.0000017,False,False,False,False,False,False,False,False,No data,223 East 23rd Street,Manhattan,10010,NY,40.73837,-73.9813,6,2,64,No data,No data,Gramercy                                                                   ,MANHATTAN,gramercy,MN21 Gramercy,Percent,9.382028488807968,6.802446729851448,2.137527727364388,5.115278618000941,13.89130057301615,0.29575855347180213,30.75282576242269,1.7634162615575255,96.61138118387188,78.60070536650461,MN21,Gramercy,False,False,False,No Type
02M135,The Urban Assembly School for Emergency Management,0.78,0.73,0.68,0.76,0.84,0.84,2.71,2.36,6.7,19.0,0.003,0.712,7.6,14.899999999999999,4.0,79.2,0.83,0.511,The Urban Assembly School for Emergency Management,3.18,0.739,No data,No data,0.239,0.391,The Urban Assembly School for Emergency Management,452.5,469.7,13.0,33.7,0.556,0.0,The Urban Assembly School for Emergency Management,"The Urban Assembly School for Emergency Management (UASEM) provides students with real-world learning opportunities. Students at UASEM have the unique opportunity to participate in career-related courses, internships, and emergency simulations with our partners Federal Emergency Management Agency (FEMA), American Red Cross, Department of Homeland Security, and more. With our partners, we develop curricula and activities in Emergency Management that create a sense of personal responsibility and empowerment among our students, parents, and staff. Students will develop leadership skills, learn how to use mapping and emergency response software as well as CPR, and learn how to recognize and respond to hazardous materials, among other abilities.",Chinatown,"411 Pearl Street, Manhattan NY 10038 (40.711441, -74.000851)",212-225-0998,212-225-0996,info@uasem.org,www.uasem.org,9-12,257,8:41am,3:31pm,Internships; Summer Orientation,"Peer Mediation, Peer Tutoring, Student Council, National Honor Society, Yearbook, PSAT and SAT Preparation, Step, Dance; Clubs: Drama, Art and Photography, Chess","Baseball, Basketball, Cross Country, Indoor Track, Outdoor Track, Volleyball, Wrestling","Badminton, Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball",Stunt,Intramural Basketball,No data,0.879999995,0.800000012,No data,93.0000007,False,False,False,False,False,False,False,False,No data,411 Pearl Street,Manhattan,10038,NY,40.71143651775785,-74.0007544668163,1,1,29,1001388.0,1001130100.0,Chinatown                                                                  ,MANHATTAN,chinatown,MN27 Chinatown,Percent,8.801904033320582,16.562655326669244,3.965317280609709,25.24990335229469,9.812222941674554,0.8725907107748384,45.12067156348373,29.434792547719738,58.992456280717796,27.554577666018975,MN27,Chinatown,False,False,False,No Type
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,0.71,0.88,0.69,0.94,0.87,0.91,2.617,2.345,6.9,27.200000000000003,0.008,0.707,6.3,12.2,4.0,33.300000000000004,0.865,0.453,Stephen T. Mather Building Arts & Craftsmanship Hi,3.55,0.827,No data,No data,0.627,0.293,Stephen T. Mather Building Arts & Craftsmanship Hi,431.6,437.7,10.7,24.0,0.392,62.7,Stephen T. Mather Building Arts & Craftsmanship High School,"Are you hoping four years of high school will lead you to college, a challenging career, or both? Do you like projects, working with your hands, and learning by doing? How about field trips and exploring outdoors all year? Are you creative, inquisitive, action-oriented, responsible, a positive risk-taker, collaborative, and conscientious? At our school you will prepare for college and beyond through hands-on/minds-on learning and skills training. Partnered with the National Park Service (NPS), our school offers CTE pathways in the specialized building arts or landscape stewardship, all through the lens of historic preservation. You will build a strong academic foundation and learn solid trade skills, opening doors to a successful future.",Clinton,"439 West 49th Street, Manhattan NY 10019 (40.763655, -73.990318)",212-399-3520,212-245-4669,MrRogers@MatherHSNYC.org,www.MatherHSNYC.org,9-12,282,8:55am,3:30pm,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Internship Expected; Internships; Online Grading System; Saturday Programs; Student/Parent Orientation; Summer Internships,"Student Government, Yearbook, Naval JROTC, National Honor Society, Peer Mediation, Tutoring/Peer Tutoring, Love is Love Gay/Straight Alliance, Performing Arts Club, Visual Arts Club, Dance Club, Anime Club, Board Games Club, Travel Opportunities (Spain Trip)","Baseball, Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Volleyball","Basketball, Flag Football, Soccer, Softball, Volleyball",No data,"Annual Student vs. Staff Basketball Game, 3 on 3 Student Basketball Tournament, Intramural Soccer, Flag Football, Weightlifting, Aerobic Training",No data,0.879999995,0.810000002,No data,85.0000024,False,False,False,False,False,False,False,False,No data,439 West 49th Street,Manhattan,10019,NY,40.76237959834612,-73.98941659772846,4,3,127,1026646.0,1010590015.0,Clinton                                                                    ,MANHATTAN,clinton,MN15 Clinton,Percent,9.39718600748677,8.186532599659554,2.003087763746487,8.15882189937057,15.779822631192905,1.2430228415343811,37.51896256422804,4.869358669833729,91.18877954982469,63.479809976247026,MN15,Clinton,False,False,False,No Type
02M260,M.S. 260 Clinton School Writers & Artists,0.85,0.82,0.77,0.86,0.89,0.91,3.606,3.323,1.0,18.6,0.0,0.243,0.0,2.5,5.8,64.7,0.966,0.055,M.S. 260 Clinton School Writers & Artists,No data,No data,No data,No data,No data,No data,M.S. 260 Clinton School Writers & Artists,No data,No data,No dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo data,No dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo data,0.878,No dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo data,"Clinton School Writers & Artists, M.S. 260","Students who are prepared for college must have an education that encourages them to take risks as they produce and perform. Our college preparatory curriculum develops writers and has built a tight-knit community. Our school develops students who can think analytically and write creatively. Our arts programming builds on our 25 years of experience in visual, performing arts and music on a middle school level. We partner with New Audience and the Whitney Museum as cultural partners. We are a International Baccalaureate (IB) candidate school that offers opportunities to take college courses at neighboring universities.",Chelsea-Union Sq,"10 East 15th Street, Manhattan NY 10003 (40.736526, -73.992727)",212-524-4360,212-524-4365,admissions@theclintonschool.net,www.theclintonschool.net,6-11,376,No data,No data,No data,"CUNY College Now, Technology, Model UN, Student Government, School Leadership Team, Music, School Musical, National Honor Society, The Clinton Post (School Newspaper), Clinton Soup (Literary Magazine), GLSEN, Glee",No data,No data,No data,"Cross Country, Track and Field, Soccer, Flag Football, Basketball",No data,0.970000029,0.899999976,No data,97.0000029,False,False,False,False,False,False,False,False,No data,10 East 15th Street,Manhattan,10003,NY,40.73653,-73.9927,5,2,52,1089902.0,1008420034.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MANHATTAN,hudson yards-chelsea-flat iron-union square,MN13 Hudson Yards-Chelsea-Flat Iron-Union Square,Percent,7.448275862068965,6.961506961506961,1.6584766584766584,6.500819000819001,12.662896483894762,1.254095004095004,31.864596970263698,3.000995590954345,93.82911392405063,71.88700042668184,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,False,True,True,Community
